"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1978","1978",6500,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1979","1979",6400,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1980","1980",2181,"B","Break"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1981","1981",2152,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1982","1982",2019,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1983","1983",1824,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1984","1984",1848,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1985","1985",1853,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1986","1986",1821,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1987","1987",1826,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1988","1988",1797,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1989","1989",1694,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1990","1990",1463,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1991","1991",1303,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1992","1992",1230,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1993","1993",1220,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1994","1994",1240,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1995","1995",1238,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","1996","1996",1201,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2000","2000",1383,"B","Break"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2001","2001",1417.6,"B","Break"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2002","2002",1426,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2003","2003",1434.7,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2004","2004",1441,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2005","2005",1506.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2006","2006",1565.3,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2007","2007",1548.9,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2008","2008",1561,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2009","2009",1540.9,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2010","2010",1478.2,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2011","2011",1513.3,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2012","2012",1486.9,"B","Break"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2013","2013",1504.8,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2014","2014",1503.9,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUS","Australia","2015","2015",1546.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1960","1960",9242,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1961","1961",7971.9,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1962","1962",7788.8,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1963","1963",8077.6,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1964","1964",8405.5,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1965","1965",8250.3,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1966","1966",8637,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1967","1967",9046.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1968","1968",8910.6,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1969","1969",9123.2,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1970","1970",9394,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1971","1971",9610.3,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1972","1972",9546.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1973","1973",8975.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1974","1974",8677.3,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1975","1975",8692.7,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1976","1976",8015.3,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1977","1977",8197.5,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1978","1978",7777.7,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1979","1979",8063,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1980","1980",8267.6,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1981","1981",8233.2,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1982","1982",8218.6,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1983","1983",8539.2,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1984","1984",8221.7,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1985","1985",7906.7,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1986","1986",7700.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1987","1987",7550.9,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1988","1988",7602.7,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1989","1989",7934.2,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1990","1990",7877.6,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1991","1991",7761.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1992","1992",7330.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1993","1993",6828.9,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1994","1994",6781.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1995","1995",6386.8,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1996","1996",6241.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1997","1997",6474.7,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1998","1998",6403.2,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","1999","1999",6877.5,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2000","2000",6856.2,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2001","2001",6996.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2002","2002",7013.5,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2003","2003",7006.6,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2004","2004",6837.3,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2005","2005",6472,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2006","2006",6280.9,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2007","2007",6414.7,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2008","2008",6071.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2009","2009",5893.2,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2010","2010",5484.7,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2011","2011",5367.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2012","2012",6040,"B","Break"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2013","2013",5667.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2014","2014",5579.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2015","2015",5488.8,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2016","2016",5537.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","AUT","Austria","2017","2017",5373.2,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1960","1960",8593,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1961","1961",9162,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1962","1962",9239,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1963","1963",9259,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1964","1964",10508,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1965","1965",10520,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1966","1966",9833,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1967","1967",9892,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1968","1968",10037,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1969","1969",10473,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1970","1970",11007,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1971","1971",9975,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1972","1972",10657,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1973","1973",9728,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1974","1974",8991,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1975","1975",8385,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1976","1976",8568,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1977","1977",8737,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1978","1978",8878,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1979","1979",8313,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1980","1980",8358,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1981","1981",8078,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1982","1982",7883,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1983","1983",8057,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1984","1984",8085,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1985","1985",7559,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1986","1986",8098,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1987","1987",8301,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1988","1988",8553,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1989","1989",8722,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1990","1990",8647,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1991","1991",8061,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1992","1992",7676,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1993","1993",7538,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1994","1994",7250,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1995","1995",6935,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1996","1996",6586,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1997","1997",6831,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1998","1998",6935,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","1999","1999",7084,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2000","2000",6765,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2001","2001",6477,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2002","2002",6381,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2003","2003",6406,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2004","2004",6142,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2005","2005",6023,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2006","2006",6015.6,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2007","2007",6056.2,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2008","2008",5878.7,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2009","2009",5685.4,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2010","2010",5417.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2011","2011",5551.9,"B","Break"
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2012","2012",5063.1,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2013","2013",4751.3,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2014","2014",4741.8,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2015","2015",4600.7,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2016","2016",4515.2,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","BEL","Belgium","2017","2017",4258.6,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1970","1970",6412,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1971","1971",8770,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1972","1972",9708,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1973","1973",9948,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1974","1974",10068,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1975","1975",9547,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1976","1976",8518,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1977","1977",9046,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1978","1978",10000,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1979","1979",10587,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1980","1980",10727,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1981","1981",10523,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1982","1982",8987,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1983","1983",8842,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1984","1984",9273,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1985","1985",10032,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1986","1986",10159,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1987","1987",10609,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1988","1988",10406,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1989","1989",10455,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1990","1990",9486,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1991","1991",8889,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1992","1992",8805,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1993","1993",8632,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1994","1994",8341,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1995","1995",8138,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1996","1996",7676,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1997","1997",7269,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1998","1998",7074,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","1999","1999",7186,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2000","2000",7262,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2001","2001",6981,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2002","2002",7101,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2003","2003",6830,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2004","2004",6453,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2005","2005",6349,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2006","2006",6140,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2007","2007",5861,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2008","2008",5306,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2009","2009",5078,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2010","2010",5060,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2011","2011",4884,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2012","2012",4791,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2013","2013",4679,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2014","2014",4217,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2015","2015",4516,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CAN","Canada","2016","2016",4421,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1970","1970",3389,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1971","1971",3394,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1972","1972",3292,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1973","1973",3200,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1974","1974",2956,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1975","1975",2959,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1976","1976",3062,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1977","1977",3007,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1978","1978",2833,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1979","1979",2444,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1980","1980",2311,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1981","1981",2242,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1982","1982",2116,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1983","1983",2219,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1984","1984",2206,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1985","1985",2207,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1986","1986",2147,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1987","1987",2158,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1988","1988",2265,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1989","1989",2342,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1990","1990",2680,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1991","1991",2668,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1992","1992",3101,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1993","1993",3124,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1994","1994",3451,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1995","1995",3578,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1996","1996",3659,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1997","1997",3553,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1998","1998",3422,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","1999","1999",3376,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","2000","2000",3158,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","2001","2001",3294,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","2002","2002",3371,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","2003","2003",3474,,
"INJRACIR","Injuries in road traffic accidents","BLESSETX","Injured per million population","CZE","Czech Republic","2004","2004",3356,,
